timescale,width,source,probe,window,n_draws,rhat,ess_mean,ess_min,ess_bulk_az,ess_tail_az,drift_z_max,ess_per_1e6_grad
T_phys=0.5 (T=100000),4.0,samples,f_dist,last 25%,1250,0.9996424374355083,2.8721405616550033,2.872057035698361,6.096040583232638,29.918157615294817,3.3601275572764826,57.488802274920005
T_phys=0.5 (T=100000),4.0,samples,dist_to_ref_sq_over_d,full,5000,0.9999010121058653,3.53152195631067,3.5314365425269183,6.08012872177979,29.80672695397527,2.628793122758528,17.66114200995534
T_phys=0.5 (T=100000),4.0,samples,dist_to_ref_sq_over_d,last 50%,2500,0.9998073816448189,2.870811594876352,2.8707190903780977,6.088337922493903,29.84692896048517,3.2032106232809903,28.71960379027963
T_phys=0.5 (T=100000),4.0,samples,dist_to_ref_sq_over_d,last 25%,1250,0.9996424374355082,2.872140561662915,2.872057035706296,6.096040583232638,29.918157615294817,3.360127557276482,57.48880227507836
T_phys=0.5 (T=100000),4.0,samples,dist_to_ref_over_sqrt_d,full,5000,0.9999005484390198,3.5606589211748214,3.560558565581515,6.08012872177979,29.80672695397527,3.897214680360996,17.80685597706952
T_phys=0.5 (T=100000),4.0,samples,dist_to_ref_over_sqrt_d,last 50%,2500,0.9998069059309498,2.8758198829839206,2.8757266488285027,6.088337922493903,29.84692896048517,3.658744783522139,28.769706712524215
T_phys=0.5 (T=100000),4.0,samples,dist_to_ref_over_sqrt_d,last 25%,1250,0.9996420338118182,2.873408119060439,2.8732848795250203,6.096040583232638,29.918157615294817,3.556745182948448,57.51417372018492
T_phys=0.5 (T=100000),4.0,samples,dist_to_ref_over_ou_radius,full,5000,0.9999005484390198,3.560658921174953,3.5605585655816445,6.08012872177979,29.80672695397527,3.897214680360995,17.806855977070178
T_phys=0.5 (T=100000),4.0,samples,dist_to_ref_over_ou_radius,last 50%,2500,0.9998069059309498,2.875819882984969,2.875726648829547,6.088337922493903,29.84692896048517,3.658744783522137,28.769706712534703
T_phys=0.5 (T=100000),4.0,samples,dist_to_ref_over_ou_radius,last 25%,1250,0.9996420338118182,2.873408119069792,2.873284879534393,6.096040583232638,29.918157615294817,3.5567451829484384,57.51417372037214
T_phys=0.5 (T=100000),4.0,iter_rhat,nll_probe_mean,full_aligned,25001,1.000509124036549,,,,,,
T_phys=0.5 (T=100000),4.0,iter_rhat,U_train,full_aligned,25001,0.9999815583671493,,,,,,
T_phys=0.5 (T=100000),4.0,iter_rhat,grad_norm,full_aligned,25001,1.0053432795720496,,,,,,
T_phys=0.5 (T=100000),4.0,iter_rhat,f_nll,full_aligned,25001,1.000509124036549,,,,,,
T_phys=0.5 (T=100000),4.0,iter_rhat,f_margin,full_aligned,25001,1.0003578367430286,,,,,,
T_phys=0.5 (T=100000),4.0,iter_rhat,dist_to_ref,full_aligned,25001,0.9999805537686217,,,,,,
T_phys=0.5 (T=100000),4.0,iter_rhat,dist_to_ref_over_sqrt_d,full_aligned,25001,0.9999805537686217,,,,,,
